"","Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Nacionality","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Target"
"1","Single",5,2,1,1,1,"1","0","0","1","1","0",20,"0","Dropout"
"2","Single",1,11,1,1,1,"1","0","0","0","1","0",19,"0","Graduate"
"3","Single",5,5,1,1,1,"1","0","0","0","1","0",19,"0","Dropout"
"4","Single",2,15,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"5","Married",1,3,0,1,1,"0","0","0","1","0","0",45,"0","Graduate"
"6","Married",1,17,0,12,1,"0","0","1","1","1","0",50,"0","Graduate"
"7","Single",1,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"8","Single",4,11,1,1,1,"1","0","0","0","1","0",22,"0","Dropout"
"9","Single",3,10,1,1,15,"0","0","0","1","0","1",21,"1","Graduate"
"10","Single",1,10,1,1,1,"1","0","1","0","0","0",18,"0","Dropout"
"11","Single",1,14,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"12","Single",1,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"13","Single",2,16,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"14","Single",1,11,1,16,1,"1","0","0","1","0","1",21,"0","Graduate"
"15","Single",1,6,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"16","Single",1,15,1,1,1,"1","0","0","1","0","0",20,"0","Dropout"
"17","Single",1,10,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"18","Single",2,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"19","Single",1,8,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"20","Single",1,16,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"21","Single",3,2,1,1,1,"0","0","0","1","0","1",21,"0","Graduate"
"22","Single",4,13,1,1,1,"1","0","0","1","0","0",20,"0","Enrolled"
"23","Single",4,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"24","Single",4,14,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"25","Single",1,12,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"26","Single",1,10,1,1,1,"1","0","1","1","0","1",18,"0","Enrolled"
"27","Single",2,10,1,1,1,"1","0","0","1","0","0",21,"0","Graduate"
"28","Single",1,6,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"29","Single",1,9,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"30","Single",2,12,1,1,1,"1","0","0","1","1","0",19,"0","Enrolled"
"31","Single",1,4,1,14,1,"0","0","0","1","1","0",21,"0","Enrolled"
"32","Single",1,5,1,1,1,"1","0","0","1","1","0",20,"0","Graduate"
"33","Single",1,9,1,1,1,"0","0","0","0","1","0",18,"0","Enrolled"
"34","Single",1,3,0,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"35","Single",1,17,0,1,1,"0","0","0","1","1","0",34,"0","Graduate"
"36","Single",1,1,1,1,1,"0","0","1","0","1","0",37,"0","Dropout"
"37","Single",1,7,1,8,1,"1","0","0","1","1","0",43,"0","Dropout"
"38","Single",1,9,1,1,1,"0","0","0","1","0","0",55,"0","Dropout"
"39","Divorced",1,17,0,1,1,"1","0","0","1","0","0",39,"0","Graduate"
"40","Single",1,8,1,14,3,"0","0","1","0","0","0",20,"1","Dropout"
"41","Single",5,15,1,1,1,"0","0","1","1","0","0",18,"0","Dropout"
"42","Single",2,9,1,1,1,"1","0","0","1","0","0",22,"0","Graduate"
"43","Single",6,12,1,1,1,"1","1","0","1","0","0",22,"0","Graduate"
"44","Single",1,15,1,1,1,"0","0","0","0","0","0",20,"0","Dropout"
"45","Single",1,17,0,1,1,"0","0","0","1","0","0",29,"0","Dropout"
"46","Single",1,17,0,1,1,"0","0","0","1","0","0",24,"0","Enrolled"
"47","Single",2,10,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"48","Single",6,12,1,1,1,"1","0","0","1","0","1",22,"0","Graduate"
"49","Single",1,3,0,14,1,"0","0","0","1","0","1",21,"0","Graduate"
"50","Single",1,10,1,1,1,"0","0","0","1","0","1",19,"0","Graduate"
"51","Single",1,11,1,1,1,"0","0","0","1","0","1",24,"0","Graduate"
"52","Single",1,12,1,1,1,"1","0","0","1","0","1",19,"0","Enrolled"
"53","Single",1,15,1,1,1,"1","0","0","1","0","1",20,"0","Enrolled"
"54","Single",3,8,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"55","Single",1,17,0,1,1,"0","0","0","1","0","0",27,"0","Dropout"
"56","Single",1,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"57","Married",1,11,1,3,1,"0","0","0","1","0","0",39,"0","Dropout"
"58","Single",1,8,1,15,1,"1","0","0","1","0","0",27,"0","Dropout"
"59","Single",1,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"60","Single",3,2,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"61","Single",2,12,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"62","Single",1,10,1,14,1,"0","0","0","1","0","1",21,"0","Graduate"
"63","Single",3,2,1,1,1,"1","0","0","1","1","1",19,"0","Enrolled"
"64","Single",1,5,1,1,1,"1","0","0","1","1","0",19,"0","Enrolled"
"65","Single",1,5,1,1,1,"0","0","0","1","1","0",24,"0","Enrolled"
"66","Divorced",1,12,1,12,1,"1","0","0","1","1","0",29,"0","Dropout"
"67","Single",3,2,1,1,1,"1","0","0","1","1","1",19,"0","Graduate"
"68","Single",1,4,1,14,1,"1","0","0","1","1","0",23,"0","Graduate"
"69","Single",3,9,1,1,1,"0","0","1","1","1","0",19,"0","Dropout"
"70","Single",1,11,1,1,1,"0","0","0","1","1","0",26,"0","Enrolled"
"71","Single",1,9,1,1,1,"0","0","0","1","1","0",18,"0","Enrolled"
"72","Single",1,12,1,1,1,"0","0","0","1","1","0",24,"0","Graduate"
"73","Single",1,2,1,1,1,"1","0","0","1","1","0",19,"0","Dropout"
"74","Single",4,11,1,1,1,"1","0","0","1","1","0",18,"0","Dropout"
"75","Single",2,15,1,1,1,"1","0","0","1","1","0",18,"0","Graduate"
"76","Single",3,9,1,1,1,"1","0","1","1","1","0",18,"0","Dropout"
"77","Single",4,11,1,1,1,"1","0","0","1","1","1",21,"0","Dropout"
"78","Single",4,15,1,1,1,"1","0","1","1","1","1",19,"0","Graduate"
"79","Single",4,12,1,1,1,"0","0","0","1","1","1",22,"0","Graduate"
"80","Married",1,3,0,1,1,"0","0","0","1","1","0",33,"0","Graduate"
"81","Single",6,16,1,1,1,"1","0","0","1","1","0",20,"0","Dropout"
"82","Single",1,17,0,2,1,"1","0","0","1","1","0",35,"0","Dropout"
"83","Single",1,4,1,4,1,"0","0","1","1","1","0",24,"0","Dropout"
"84","Single",1,11,1,1,1,"0","0","0","1","1","0",18,"0","Enrolled"
"85","Married",1,3,0,1,1,"1","0","0","1","0","0",33,"0","Graduate"
"86","Single",1,12,1,1,1,"1","0","0","1","0","1",22,"0","Graduate"
"87","Single",1,14,1,1,1,"0","0","0","1","0","1",25,"0","Graduate"
"88","Single",1,5,1,1,1,"1","0","0","1","1","0",20,"0","Graduate"
"89","Single",6,9,1,1,1,"1","0","0","1","1","0",23,"0","Enrolled"
"90","Single",2,7,1,1,1,"1","0","1","1","1","0",18,"0","Enrolled"
"91","Single",1,12,1,1,1,"0","0","0","1","1","0",24,"0","Dropout"
"92","Single",2,15,1,1,14,"1","0","0","0","0","0",21,"1","Graduate"
"93","Single",1,8,1,1,14,"0","0","0","1","0","0",26,"1","Dropout"
"94","Married",1,16,1,8,1,"0","0","0","1","0","0",39,"0","Dropout"
"95","Married",1,3,0,1,1,"0","0","0","1","0","0",44,"0","Graduate"
"96","Single",1,7,1,1,12,"1","0","0","1","1","0",19,"1","Enrolled"
"97","Single",5,15,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"98","Single",5,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"99","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"100","Single",4,12,1,1,1,"1","0","1","0","0","0",19,"0","Dropout"
"101","Single",1,6,1,16,1,"0","0","0","1","0","0",21,"0","Dropout"
"102","Single",4,2,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"103","Married",1,3,0,1,1,"1","0","0","1","0","0",36,"0","Dropout"
"104","Divorced",1,4,1,9,1,"0","0","0","1","0","0",43,"0","Graduate"
"105","Single",1,16,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"106","Single",1,5,1,1,1,"0","0","1","1","0","0",20,"0","Graduate"
"107","Single",2,10,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"108","Single",1,6,1,1,1,"1","0","0","1","0","0",20,"0","Dropout"
"109","Single",5,12,1,1,1,"1","0","0","1","0","0",20,"0","Dropout"
"110","Single",2,16,1,1,1,"1","0","0","1","0","0",20,"0","Enrolled"
"111","Single",1,10,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"112","Single",2,9,1,1,1,"1","0","0","1","0","1",18,"0","Enrolled"
"113","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"114","Single",3,15,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"115","Single",2,12,1,1,1,"1","0","0","1","0","0",18,"0","Dropout"
"116","Single",1,12,1,1,1,"0","0","0","1","0","0",20,"0","Enrolled"
"117","Single",1,10,1,1,1,"1","0","0","1","0","1",20,"0","Enrolled"
"118","Single",1,9,1,1,1,"0","0","0","1","0","0",20,"0","Enrolled"
"119","Single",2,6,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"120","Single",1,9,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"121","Single",1,11,1,1,1,"1","0","0","1","0","0",21,"0","Dropout"
"122","Single",2,9,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"123","Single",1,2,1,1,1,"0","0","0","1","0","0",19,"0","Dropout"
"124","Single",1,14,1,1,1,"0","0","0","1","0","1",19,"0","Graduate"
"125","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"126","Single",6,13,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"127","Single",1,6,1,14,1,"1","0","0","1","0","0",20,"0","Graduate"
"128","Single",1,16,1,1,1,"1","0","0","1","0","1",18,"0","Enrolled"
"129","Single",3,10,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"130","Single",6,12,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"131","Single",3,12,1,1,1,"1","0","0","1","0","1",18,"0","Dropout"
"132","Single",2,5,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"133","Single",4,9,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"134","Single",6,12,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"135","Single",1,10,1,1,1,"0","0","0","1","0","0",20,"0","Graduate"
"136","Single",1,14,1,1,1,"0","0","1","0","0","1",19,"0","Dropout"
"137","Single",1,14,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"138","Single",1,15,1,1,1,"0","0","1","1","0","1",18,"0","Graduate"
"139","Single",2,12,1,1,1,"0","0","0","1","0","1",20,"0","Enrolled"
"140","Single",1,12,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"141","Single",5,12,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"142","Single",6,15,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"143","Single",1,9,1,1,1,"1","0","1","0","0","0",22,"0","Enrolled"
"144","Single",3,10,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"145","Single",3,12,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"146","Single",5,16,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"147","Single",4,11,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"148","Single",1,11,1,1,1,"1","0","0","1","0","0",20,"0","Dropout"
"149","Single",1,9,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"150","Single",1,12,1,1,1,"0","0","0","1","0","1",20,"0","Graduate"
"151","Single",1,2,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"152","Single",1,6,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"153","Single",1,16,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"154","Single",1,16,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"155","Single",1,16,1,1,1,"1","0","0","1","0","0",21,"0","Dropout"
"156","Single",1,16,1,1,1,"0","0","0","1","0","0",19,"0","Dropout"
"157","Single",1,9,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"158","Single",2,10,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"159","Single",3,10,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"160","Single",1,3,0,1,1,"0","0","0","1","0","1",24,"0","Graduate"
"161","Single",1,14,1,1,1,"0","0","0","1","0","0",19,"0","Dropout"
"162","Single",1,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"163","Single",2,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"164","Single",5,16,1,1,1,"1","0","0","1","0","0",21,"0","Dropout"
"165","Single",2,14,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"166","Single",1,15,1,1,1,"0","0","0","1","0","1",19,"0","Graduate"
"167","Widower",1,4,1,1,1,"0","0","1","1","0","0",47,"0","Enrolled"
"168","Single",3,10,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"169","Single",1,12,1,3,1,"0","0","0","1","0","0",29,"0","Graduate"
"170","Single",1,10,1,1,1,"1","0","0","1","0","0",21,"0","Dropout"
"171","Single",1,6,1,1,1,"1","0","0","1","0","0",28,"0","Enrolled"
"172","Single",2,13,1,1,1,"0","0","0","1","0","0",20,"0","Graduate"
"173","Single",1,12,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"174","Single",1,3,0,1,1,"0","0","0","1","0","0",26,"0","Graduate"
"175","Single",2,11,1,1,1,"1","0","1","0","0","0",20,"0","Dropout"
"176","Single",1,14,1,1,1,"1","0","0","1","0","1",18,"0","Enrolled"
"177","Single",1,16,1,1,1,"0","0","0","1","0","0",27,"0","Graduate"
"178","Single",2,12,1,1,1,"1","0","0","1","0","0",20,"0","Dropout"
"179","Single",5,16,1,1,1,"1","0","0","1","0","0",18,"0","Dropout"
"180","Single",1,12,1,3,1,"0","0","0","1","0","0",33,"0","Dropout"
"181","Single",1,16,1,1,1,"1","0","0","1","0","0",35,"0","Graduate"
"182","Single",1,17,0,14,1,"0","0","0","1","0","1",26,"0","Enrolled"
"183","Single",1,15,1,12,1,"0","0","1","0","0","0",27,"0","Dropout"
"184","Single",3,5,1,1,1,"1","0","0","0","0","0",19,"0","Dropout"
"185","Single",2,11,1,1,1,"0","0","0","1","0","0",20,"0","Dropout"
"186","Single",2,9,1,1,1,"1","0","1","0","0","0",20,"0","Dropout"
"187","Single",1,10,1,1,1,"0","0","1","0","0","0",21,"0","Enrolled"
"188","Single",3,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"189","Single",1,6,1,1,1,"1","0","0","1","0","0",24,"0","Dropout"
"190","Single",4,5,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"191","Single",1,11,1,1,1,"0","0","0","1","0","1",21,"0","Graduate"
"192","Single",1,3,0,1,1,"0","0","0","1","0","0",23,"0","Enrolled"
"193","Single",1,9,1,1,1,"1","0","0","1","0","0",24,"0","Dropout"
"194","Single",1,16,1,1,1,"0","0","0","1","0","0",21,"0","Dropout"
"195","Single",4,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"196","Single",1,17,0,15,1,"1","0","0","1","0","0",27,"0","Dropout"
"197","Single",6,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"198","Single",1,7,1,3,1,"0","0","0","1","0","0",35,"0","Dropout"
"199","Single",1,16,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"200","Single",1,12,1,1,1,"0","0","0","1","0","0",35,"0","Enrolled"
"201","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"202","Single",4,10,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"203","Single",4,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"204","Single",1,10,1,14,1,"0","0","1","1","0","0",21,"0","Graduate"
"205","Single",2,10,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"206","Single",1,10,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"207","Single",2,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"208","Single",4,15,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"209","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"210","Single",1,11,1,12,1,"0","0","0","1","0","1",36,"0","Dropout"
"211","Single",2,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"212","Single",1,12,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"213","Single",1,8,1,1,1,"1","0","0","1","0","1",20,"0","Graduate"
"214","Single",1,17,0,1,1,"0","0","0","1","0","1",26,"0","Dropout"
"215","Single",1,15,1,1,1,"0","0","0","1","0","0",21,"0","Graduate"
"216","Single",1,13,1,15,1,"0","0","0","1","0","0",25,"0","Enrolled"
"217","Single",1,9,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"218","Single",1,3,0,1,1,"1","0","0","1","0","0",24,"0","Dropout"
"219","Single",1,3,0,1,1,"0","0","0","1","0","1",27,"0","Dropout"
"220","Single",1,6,1,1,1,"0","0","0","1","0","0",21,"0","Dropout"
"221","Single",1,9,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"222","Married",4,16,1,1,1,"0","1","0","1","0","1",19,"0","Graduate"
"223","Single",3,11,1,1,1,"1","0","0","1","0","0",18,"0","Dropout"
"224","Single",1,12,1,1,1,"0","0","0","1","0","1",19,"0","Graduate"
"225","Single",1,12,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"226","Married",1,17,0,17,1,"0","0","0","1","0","0",33,"0","Graduate"
"227","Married",1,9,1,3,1,"0","0","0","1","0","0",45,"0","Graduate"
"228","Single",1,10,1,1,1,"0","0","0","1","0","1",20,"0","Graduate"
"229","Single",2,14,1,1,1,"1","0","0","1","0","0",28,"0","Dropout"
"230","Single",1,12,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"231","Single",2,11,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"232","Single",1,11,1,3,1,"0","0","0","1","0","0",38,"0","Dropout"
"233","Single",2,14,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"234","Single",1,11,1,1,1,"0","0","0","1","0","1",21,"0","Graduate"
"235","Single",1,9,1,1,1,"0","0","0","1","0","0",21,"0","Dropout"
"236","Single",1,10,1,1,1,"0","0","0","1","0","1",22,"0","Graduate"
"237","Single",1,16,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"238","Single",2,10,1,1,1,"0","1","0","1","0","1",18,"0","Graduate"
"239","Single",1,8,1,1,1,"1","0","0","0","0","0",25,"0","Dropout"
"240","Single",1,6,1,12,1,"0","0","1","0","0","0",24,"0","Dropout"
"241","Single",3,12,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"242","Single",1,2,1,1,1,"1","0","0","1","0","0",24,"0","Enrolled"
"243","Single",2,9,1,1,1,"1","0","0","1","0","1",20,"0","Graduate"
"244","Single",1,9,1,1,1,"0","0","0","0","0","0",25,"0","Dropout"
"245","Single",1,9,1,1,1,"0","0","0","1","0","1",20,"0","Graduate"
"246","Single",1,12,1,3,1,"0","0","0","1","0","0",23,"0","Graduate"
"247","Single",3,12,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"248","Single",1,4,1,14,1,"0","0","1","0","0","0",29,"0","Dropout"
